number,bal_score,diag,KronRad (kpc),separation (kpc),area (kpc^2),sep/area (kpc),x,y,KronMag,Abs. Mag,Angle,Ellipticity,RA,Host RA,DEC,Host Dec,Discrepency (arcsecs),Z,SDSS Photoz,pixelRank,chance coincidence
237,0.33,5,x,,x,,,,,x,,,,,,,,x,,x,x
238,0.39,6,,x,x,,,,,x,,,,,,,,x,,x,x
239,0.33,6,x,x,x,,,,,x,,,,,,,,x,,x,x
240,0.36,6,,,,,,,,,,x,,,,,,x,,x,x
241,0.33,5,x,,,,,,,,,x,,,,,,x,,x,x
242,0.35,6,,x,,,,,,,,x,,,,,,x,,x,x
243,0.32,5,x,x,,,,,,,,x,,,,,,x,,x,x
244,0.39,5,,,x,,,,,,,x,,,,,,x,,x,x
245,0.32,5,x,,x,,,,,,,x,,,,,,x,,x,x
246,0.36,5,,x,x,,,,,,,x,,,,,,x,,x,x
247,0.34,5,x,x,x,,,,,,,x,,,,,,x,,x,x
248,0.36,6,,,,,,,,x,,x,,,,,,x,,x,x
249,0.31,5,x,,,,,,,x,,x,,,,,,x,,x,x
250,0.33,5,,x,,,,,,x,,x,,,,,,x,,x,x
251,0.32,5,x,x,,,,,,x,,x,,,,,,x,,x,x
252,0.37,5,,,x,,,,,x,,x,,,,,,x,,x,x
253,0.28,5,x,,x,,,,,x,,x,,,,,,x,,x,x
254,0.34,5,,x,x,,,,,x,,x,,,,,,x,,x,x
255,0.30,5,x,x,x,,,,,x,,x,,,,,,x,,x,x
