ra dec type modelMag_g modelMag_r modelMag_i modelMag_z z zErr idnum
160.718799923834 58.0382458004495 3 22.17837 21.73243 21.60616 21.54174 0.158009 0.104128 000133
160.730947918095 58.0305822463374 3 22.15907 21.87718 21.60009 21.50662 0.227986 0.087154 000133
161.159151100731 57.8110668321233 3 18.34037 17.398 16.97831 16.68177 0.121863 0.022047 000137
161.154021708129 57.8134204125768 3 21.70413 20.22488 19.91462 19.53982 0.428536 0.058172 000137
161.15387295724 57.8158102780235 6 24.67597 23.58802 22.18983 22.57149 nan nan 000137
161.149186170762 57.8121229843673 3 22.13955 21.65434 21.28264 20.95902 0.390803 0.191426 000137
162.29487564803 58.4688576125637 3 22.83055 21.70404 20.88235 20.49264 0.569893 0.079623 000142
162.31023488193 58.4674129409361 3 21.88618 20.48694 19.74182 19.42337 0.480186 0.072994 000142
162.319595618992 58.4595675456103 3 22.07276 21.97188 21.70489 21.56381 0.184142 0.110946 000142
162.323224961126 58.4715204500461 3 22.90274 21.49593 21.05784 20.91911 0.361384 0.090771 000142
162.324960912971 58.473207158867 3 25.33969 23.50599 21.9813 22.62617 0.777346 0.112117 000142
162.308857751047 58.4641972073511 6 22.14446 20.56218 19.20406 18.55926 nan nan 000142
162.296294151503 58.4717650948049 3 23.4682 21.83501 21.4174 20.74902 0.404085 0.067615 000142
162.309327265517 58.4698726191909 3 24.06953 22.88583 21.71737 20.89996 0.958045 0.074217 000142
162.320969670858 58.4748089914477 3 23.18485 21.37233 20.63216 20.07171 0.452208 0.037184 000142
162.043294108897 56.8429144885805 3 22.91592 21.69844 21.28891 21.9375 0.327126 0.13747 000174
162.029289699257 56.8500990154826 3 21.19552 20.18767 19.80721 19.57121 0.31965 0.095584 000174
162.030101909971 56.8438662406002 3 18.68448 18.00904 17.5917 17.37092 0.112769 0.029635 000174
162.027033537521 56.8548276186179 3 24.12639 25.48915 24.91402 23.34978 -9999.0 -9999.0 000174
162.023325201116 56.8435039647898 3 22.87173 22.34839 22.41048 22.11493 0.2731 0.086565 000174
162.023604102652 56.8534560268785 3 22.20743 21.12739 20.59941 20.41555 0.429012 0.130726 000174
148.983164895244 2.26332814484866 3 24.55985 21.56534 19.86411 19.30329 0.902841 0.040582 000190
148.98827936942 2.26389046004549 3 19.76746 19.18743 18.91943 19.25586 0.097046 0.045745 000190
148.985031810755 2.26476811866591 6 23.23425 21.55685 20.90295 20.55512 nan nan 000190
148.993903352709 2.266742944849 3 22.28242 22.06877 22.07536 23.32018 0.414648 0.069486 000190
148.983238986905 2.25819603940106 6 11.69852 11.56121 11.55975 12.99545 nan nan 000190
148.983711361737 2.26409101829661 6 23.17264 22.09942 20.73765 20.0683 nan nan 000190
148.994519171093 2.25520266122067 6 20.49084 20.15874 20.09241 20.06198 nan nan 000190
