ra dec type modelMag_g modelMag_r modelMag_i modelMag_z z zErr idnum
160.730947923215 58.0305822418656 3 22.17002 21.88851 21.60876 21.50344 0.227986 0.087154 000133
160.726220023826 58.0385147417909 3 22.38676 21.55766 20.73482 20.33778 0.633846 0.096159 000133
160.726784966847 58.0258602888552 3 25.30481 25.34748 24.27222 20.41245 -9999.0 -9999.0 000133
161.149186171029 57.8121229838741 3 22.14419 21.66297 21.29099 20.96755 0.390803 0.191426 000137
161.153872956759 57.8158102789106 6 24.67784 23.59536 22.19738 22.57374 nan nan 000137
161.154021708785 57.8134204113686 3 21.70879 20.23398 19.92302 19.54887 0.428536 0.058172 000137
161.159151100991 57.8110668316434 3 18.34659 17.40669 16.98672 16.69086 0.121863 0.022047 000137
162.294875651916 58.4688576050337 3 22.84656 21.71424 20.88835 20.50714 0.569893 0.079623 000142
162.296294155402 58.4717650872475 3 23.48317 21.8452 21.42337 20.76328 0.404085 0.067615 000142
162.308857754005 58.4641972016128 6 22.16035 20.57217 19.21084 18.57358 nan nan 000142
162.309327270317 58.4698726098819 3 24.08182 22.89708 21.72342 20.91508 0.958045 0.074217 000142
162.310234887273 58.4674129305722 3 21.90211 20.49887 19.74796 19.43934 0.480186 0.072994 000142
162.319595621464 58.4595675408105 3 22.08714 21.98047 21.71079 21.57508 0.184142 0.110946 000142
162.320969674762 58.4748089838724 3 23.20042 21.38257 20.63817 20.08642 0.452208 0.037184 000142
162.323224966444 58.4715204397227 3 22.91872 21.50781 21.06396 20.9342 0.361384 0.090771 000142
162.324960916587 58.4732071518481 3 25.33633 23.5159 21.9873 22.62908 0.777346 0.112117 000142
162.023325193666 56.8435039716971 3 22.8786 22.34929 22.41569 22.1159 0.2731 0.086565 000174
162.023604096054 56.8534560329932 3 22.21472 21.12886 20.60469 20.41809 0.429012 0.130726 000174
