Name,R.A.,Dec.,z,Type,Phot.,Spec.
PS15ahs,"17:59:29.77,17:59:29.76","+43:23:24.2,+43:23:24",0.031,Ia,469,
SN2005eq,"03:08:49.31,03:08:49.392,03:08:49.32,03:08:49.310","-07:01:59.7,-07:01:59.952,-07:01:59.70","0.028351,0.028977",Ia,455,20
SN2007on,"03:38:50.90,03:38:50.9,03:38:50.899","-35:34:30.0,-35:34:30.00,-35:34:30","0.006494,0.006182",Ia,453,32
SN2007S,"10:00:31.26,10:00:31.2,10:00:31.20,10:00:31.260","+04:24:26.2,+04:24:25.272,+04:24:26.28,+04:24:26.21","0.01388,0.015024,0.01388,0.01503",Ia,436,34
SN2004dt,"02:02:12.342,02:02:12.768,02:02:12.77,02:02:12.770","-00:06:02.10,-00:05:51.36,-00:05:51.50,-00:05:51.5","0.01973,0.018812,0.01883,0.01973",Ia,431,69
iPTF13dge,"05:03:35.10,05:03:35.08","+01:34:17.6,+01:34:17.4,+01:34:17.2",0.015854,Ia,431,19
SN1937C,"13:05:53.2,00:00:00.000,13:05:52.4,13:05:53.20","+37:36:07,+37:37:08.0,+37:36:07.0",0.001071,Ia,425,2
SN2016ija,"04:12:07.600,04:12:07.620,04:12:07.608","-32:51:10.48,-32:51:10.93,-32:51:10.44","0.003468,0.003468",II,419,2
SN2007sr,"12:01:52.80,12:01:52.8,12:01:52.800","-18:58:21.7,-18:58:21.72,-18:58:21.68",0.005417,Ia,416,35
SN2017deu,"13:16:21.598,13:16:21.600,13:16:21.59,13:16:21.6","+27:41:35.34,+27:41:35.3,+27:41:35.52","0.05,0.05",Ia,415,1
SN2005hk,"00:27:50.89,00:27:50.9,00:27:50.849,00:27:50.8824,00:27:50.8584,00:27:50.87,00:27:50.870","-01:11:53.3,-01:11:53,-01:11:53.484,-01:11:52.44,-01:11:53.34,-01:11:53.628,-01:11:52.5,-01:11:52.51","0.01306,0.013004",Ia-02cx,401,44
SN1999ac,"16:07:15.01,16:07:15.010","+07:58:20.4,+07:58:20.39","0.00944,0.0115",Ia Pec,397,39
SN2004ef,"22:42:10.533,22:42:10.08,22:42:10.02,22:42:10.020","+19:59:48.99,+19:59:40.56,+19:59:40.4,+19:59:40.42","0.029771,0.030985",Ia,394,29
ASASSN-15fa,"17:09:46.030,17:09:46.03,17:09:46.08,17:09:46","+62:58:27.01,+62:58:27.0,+62:58:27.12,+62:58:27",0.027408,Ia,394,1
SN2009ig,"02:38:11.62,02:38:11.613,02:38:11.616,02:38:11.61,02:38:11.611","-01:18:45.3,-01:18:45.52,-01:18:45.252,-01:18:45.1,-01:18:45.11","0.00829,0.00885,0.00877",Ia,392,18
SN2012cg,"12:27:12.83,12:27:12.830","+09:25:13.2,+09:25:13.19",0.001458,Ia,391,17
SN2012hr,"06:21:38.46,06:21:38.460,06:21:38.472","-59:42:50.6,-59:42:50.62,-59:42:50.76",0.008,Ia,387,14
SN2002er,"17:11:29.88,17:11:29.880","+07:59:44.8,+07:59:44.81",0.008569,Ia,357,30
