"Name","R.A.","Dec.","z","Type","Phot.","Spec."
"PTF11qcj","13:13:41.51","+47:17:57.0","0.028","Ic","68","6"
"SN2007ju","00:11:50.465,00:11:50.438,00:11:50.4624,00:11:50.4384,00:11:50.46,00:11:50.460","-00:20:21.67,-00:20:21.408,-00:20:21.138,-00:20:21.4044,-00:20:21.1,-00:20:21.08","0.0636","Ia","64","1"
"SN2007bg","11:49:26.18,11:49:26.179","+51:49:21.8,+51:49:21.79","0.034,0.034","Ic BL","62","2"
"SN2018hom","22:59:22.950,22:59:22.970,22:59:23.04","+08:45:04.64,+08:45:05.07,+08:45:04.644","0.0362,0.0362","Ic BL","62","1"
"SN2003jd","23:21:03.38,23:21:03.379","-04:53:45.5,-04:53:45.49","0.019","Ic BL","61","28"
"PTF10bfz","12:54:41.27,12:54:41.288","+15:24:17.0,+15:24:17.08","0.1701,0.1699","SLSN-I","61","6"
"SN2016blz","15:40:29.300,15:40:29.23,15:40:29.28,13:28:47.00","+00:54:37.10,+00:54:36.4,+00:54:37.12,-27:39:04.5","0.01173,0.01173","II","61","2"
"SN1964L","11:52:49.09,11:52:49.2,11:52:49.07,11:52:49.099,11:52:49.10","+44:07:45.4,+44:07:45.48,+44:07:45.1,+44:07:45.41","0.00263,0.0027","Ic","61","1"
"OGLE15eo","03:02:15.55,03:02:15.552","-74:17:12.2,-74:17:12.3,-74:17:12.12","0.064","Ia","60","1"
"PS15cyo","09:39:23.94","+06:24:18.4","0.031","Ia","60","1"
"SN2005kz","19:00:49.82,19:00:49.819","+50:53:01.8,+50:53:01.79","0.027","Ic","56","1"
"SDSS-II SN 14475","22:24:30.96","+00:12:12.28,+00:12:12.013","0.144045","Ic BL","54",""
"SN2005ek","03:05:48.96,03:05:48.960","+36:46:10.6,+36:46:10.60","0.016551","Ic","54","9"
"iPTF16asu","12:59:09.36","+13:48:10.8","0.187","Ic BL","51",""
"SN2010mb","16:00:23.10,16:00:23.100","+37:44:57.0,+37:44:57.01","0.1325,0.1325","Ic","49","6"
"OGLE-2014-SN-067","04:57:50.49,04:57:50.43","-74:00:39.5,-74:00:39.9","0.0187","Ic","48","1"
"SN2011kf","14:36:57.53,14:36:57.530","+16:30:56.6,+16:30:56.59","0.245,0.245","Ic","47","2"
"SN2006nx","03:33:30.63,03:33:30.624,03:33:30.629","-00:40:38.2,-00:40:38.244,-00:40:38.2404,-00:40:38.6292,-00:40:38.21","0.125","Ic","45","3"
"SN2010hy","18:59:32.89,18:59:32.890,18:59:32.881","+19:24:25.9,+19:24:25.88,+19:24:25.74","0.1901","Super-Luminous Ic","45","7"
"SN2007ms","20:32:18.34,20:32:18.24,20:32:18.341","-01:00:53.1,-01:00:53.316,-01:00:53.10","0.039","Ic","44","3"
"SN2012il","09:46:12.91,09:46:12.850,09:46:12.85","+19:50:28.7,+19:50:28.21,+19:50:28.2","0.175,0.175","SLSN-I","44","7"
"SN2005kf","07:47:26.41,07:47:26.51,07:47:26.510","+26:55:32.6,+26:55:32.4,+26:55:32.41","0.0151","Ic","42","6"
"SN2017jmj","10:43:50.370,10:43:50.400,10:43:50.4,10:43:50.36","+06:45:55.22,+06:45:54.50,+06:45:55.224,+06:45:55.3,+06:45:55.188","0.027881,0.027881","Ic","41","1"
"SN2019gqd","16:28:50.128,16:28:50.12","+39:50:03.65,+39:50:03.7","0.035695","Ic","39","1"
"SN1983I","12:03:11,00:00:00.000,12:03:11.8,12:03:11.77","+44:31.2,+44:31:09.0,+44:31:00.6","0.0023","Ic","39",""
"SN2019yz","15:41:57.301,15:41:57.305,15:41:57.36,15:41:57.30","+00:42:39.45,+00:42:39.41,+00:42:39.38,+00:42:39.4","0.006388","Ic","38","1"
"SN2009dp","20:26:52.69,20:26:52.690","-18:37:04.2,-18:37:04.19","0.0232","Ic","37",""
"SN2013hx","01:35:33.28,01:35:33.281","-57:57:50.6,-57:57:50.62","0.135,0.135","Ic","37","18"
"SN2001ej","07:23:43.23,07:23:43.231","+33:26:38.0,+33:26:38.00","0.013","Ib","36","11"
"SN2019us","07:29:08.584,07:29:08.563,07:29:08.58","+51:00:44.67,+51:00:44.63,+51:00:44.6","0.029811,0.029811","Ic","35","1"
"SN2007md","01:21:56.85,01:21:56.9,01:21:56.856,01:21:56.832,01:21:56.851","-01:00:47.8,-01:00:48,-01:00:47.736,-01:00:48.132,-01:00:47.81","0.05458,0.054626","II","34",""
"SN2005eo","07:59:13.94,07:59:13.92,07:59:13.939","+32:55:19.7,+32:55:18.48,+32:55:19.70","0.0173,0.017","Ia","33","9"
"SN2005kr","03:08:29.67,03:08:29.664,03:08:29.64,03:08:29.66,03:08:29.659","+00:53:20.2,+00:53:20.15,+00:53:20.152,+00:53:19.856,+00:53:20.18","0.1338","Ic BL","33",""
"OGLE-2013-SN-134","06:13:58.04","-72:58:24.9","0.039","Ic","31","1"
"SN2018ebt","20:41:54.990,20:41:54.96,20:41:54.98","+64:12:52.63,+64:12:52.65,+64:12:52.56,+64:12:52.6","0.01,0.03","Ic","31","1"
"SN2005da","18:37:46.89,18:37:46.891","+17:32:35.3,+17:32:35.30","0.015,0.015","Ic BL","29","4"
"SN2007qv","22:35:07.92,22:35:07.91,22:35:07.910","-01:06:37.548,-01:06:37.5,-01:06:37.8,-01:06:37.51","0.094444,0.1","Ic","29",""
"PTF10vqv","03:03:06.80,03:03:06.84,03:03:06.859","-01:32:34.9,-01:32:35.42","0.4518","SLSN-I","29","8"
"SN2005gt","02:04:03.84,02:04:03.8,02:04:03.816,02:04:03.840","-00:21:56.9,-00:21:57,-00:21:56.988,-00:21:56.9808,-00:21:57.3516,-00:21:57.0,-00:21:56.99","0.273,0.334","Ia","28",""
"SN2018jme","06:24:37.768,06:24:37.835,06:24:37.77","+50:58:30.01,+50:58:30.73,+50:58:30.0","0.036939,0.036939","Ic","28","1"
"OGLE-2013-SN-091","05:44:44.23","-63:55:51.1","0.08","Ic","26","1"
"OGLE15rb","05:12:52.03","-61:52:00.3","0.028,0.036","Ic","26","1"
"SN2007ke","02:54:23.90,02:54:23.899","+41:34:16.3,+41:34:16.28","0.0173","Ib (Ca rich)","25","2"
"SN2017fwm","19:12:51.960,19:12:51.968,19:12:52.08","-60:22:58.37,-60:22:58.44","0.015557","Ic","25","1"
"SN1987M","09:08:06,00:00:00.000,09:08:06.7,09:08:07.47","+78:05.4,+78:05:25.0,+78:05:25.1","0.0044","Ic","25","8"
"SN2018ijp","10:21:38.051,10:21:38.050,10:21:38.04","+08:55:53.03,+08:55:53.12,+08:55:53.0","0.0848,0.0848","Ic","24",""
"OGLE15vk","01:24:40.98","-74:47:15.2,-74:47:15.3","0.05","Ic","23","1"
"SN2016dsg","06:07:08.200,06:07:08.20,06:07:08.17,06:07:08.16","-45:10:52.20,-45:10:52.2,-45:10:52.32","0.039","I Pec","23","1"
"SN1992ar","23:17:28.40,00:00:00.000,23:17:30.00","-44:38:53.8,-44:38:53.81,-44:39:00.0","0.145,0.14","Ic","22",""
"SN2013dk","12:01:52.72,12:01:52.721","-18:52:18.3,-18:52:18.30","0.005477","Ic","22","4"
