"Name","R.A.","Dec.","z","Type","Phot.","Spec."
"SN2005cl","21:02:02.35,21:02:02.350","-06:17:35.7,-06:17:35.70","0.025878","IIn","124","3"
"SN2011hw","22:26:14.54,22:26:14.64,22:26:14.539,22:26:14.53","+34:12:59.1,+34:12:59.04,+34:12:59.11,+34:12:59.0","0.023","IIn/Ibn","124","22"
"SN2005gi","00:55:52.68,00:55:52.7,00:55:52.680","+00:30:17.8,+00:30:18,+00:30:17.78,+00:30:17.755,+00:30:17.338,+00:30:17.82","0.05048,0.050534","II","122",""
"SN2007ib","23:15:44.56,23:15:44.6,23:15:44.64,23:15:44.561","+00:27:25.6,+00:27:26,+00:27:25.646,+00:27:25.315,+00:27:25.60","0.03445,0.03416","II","122",""
"SN2004du","21:08:26.51,21:08:26.510","+18:11:23.7,+18:11:23.71","0.016762","II P","121","5"
"SN1990K","00:34:13.98,00:34:14.01,00:34:14.059,00:34:14.06","-27:47:45.9,-27:47:46.69,-27:47:46.72,-27:47:46.7","0.005284","II","119","31"
"SDSS-II SN 17844","00:50:52.896","-01:02:38.508,-01:02:38.832","","II","119",""
"SN1992ba","05:41:47.10,05:41:47.112,05:41:47.14,05:41:47.160,05:41:47.16","-64:18:00.7,-64:18:00.72,-64:18:00.87,-64:18:00.79,-64:18:00.8,-64:18:00.9","0.00395,0.00415","II P","118","10"
"SN1997cy","04:32:54.86,04:32:54.81,04:32:54.859","-61:42:57.5,-61:42:57.49","0.0642","II","118","9"
"SN2008B","15:02:43.65,15:02:43.649","+23:20:07.8,+23:20:07.80","0.0188","II","117","6"
"SN2003ie","12:03:18.15,12:03:18.151","+44:31:34.6,+44:31:34.61","0.002336","II","116","2"
"SN2007it","14:18:25.63,14:18:25.57,14:18:25.630","-43:22:53.8,-43:22:54.2,-43:22:53.80,-43:22:54.0","0.004,0.004","II P","116","13"
"SN2011cc","16:33:49.44,16:33:49.440,16:33:49.43","+39:15:48.7,+39:15:48.6,+39:15:48.71","0.0319","IIn","115",""
"SN2013L","11:45:29.55,11:45:29.551","-50:35:53.1,-50:35:53.09","0.016992","IIn","115","1"
"SDSS-II SN 18321","01:55:29.3,01:55:29.328,01:55:29.304","+01:09:34,+01:09:33.696,+01:09:33.372","0.103","II","114",""
"SN2008aj","13:33:06.33,13:33:06.331","+33:08:59.0,+33:08:58.99","0.025,0.025","II","113","2"
"SN2003Z","09:07:32.46,09:07:32.460,09:07:32.468","+60:29:17.5,+60:29:17.48,+60:29:17.59","0.00629,0.00638","II","112","12"
"SN2005lc","03:02:11.19,03:02:11.184,03:02:11.16,03:02:11.18,03:02:11.179","-01:09:59.4,-01:09:59.436,-01:09:59.472,-01:09:59.688,-01:09:59.40","0.013607","II","112",""
"SN2000dj","01:56:40.63,01:56:40.630","+34:10:12.4,+34:10:12.40","0.015441","II","111","5"
"SN2003B","02:46:13.78,02:46:13.776,02:46:13.781,02:46:13.788","-30:13:45.1,-30:13:45.12,-30:13:45.08,-30:13:45.19","0.00424,0.00369","II P","110","10"
"SDSS-II SN 1470","01:54:05.904,01:54:05.88","+00:12:28.534,+00:12:28.346","0.087735","II","110",""
"SN2017dgs","15:45:33.560,15:45:33.563,15:45:33.6","+30:08:43.55,+30:08:43.44","0.032,0.032","II","110","1"
"SN2006bf","12:58:50.68,12:58:50.681","+09:39:30.1,+09:39:30.10","0.024,0.024","IIb","109","1"
"SN2008bn","12:16:25.42,12:16:25.421","+47:01:40.5,+47:01:40.51","0.0242","II","109","23"
"SN1986L","04:17:29.4,04:17:31.224,04:17:29.369,04:17:29.37,04:17:29.40","-62:47:04,-62:47:07.08,-62:47:04.31,-62:47:04.3,-62:47:04.0","0.00435,0.00435","II P","109","31"
"SN2007ck","18:23:05.59,18:23:05.590","+29:54:01.0,+29:54:01.01","0.027,0.027","II","108","2"
"SN2007hv","03:47:23.90,03:47:23.899","+45:58:13.2,+45:58:13.19","0.0169","II","108","2"
"SN2009ay","17:48:22.97,17:48:22.970","+54:08:54.7,+54:08:54.71","0.0222","II","108","6"
"LSQ14efd","03:35:38.76","-58:52:38.3","0.08","Ic","108",""
"SDSS-II SN 1779","21:19:07.68","-01:02:41.676,-01:02:41.964","","II","107",""
"ASASSN-15ug","06:45:01.700,06:45:01.68","+63:14:59.60,+63:14:59.9,+63:14:59.64","","II P","107",""
"OGLE15gu","00:02:46.95","-73:30:42.3,-73:30:42.48","0.031","II","106",""
"SN2002bx","09:19:54.98,09:19:54.979","+37:12:08.3,+37:12:08.32","0.0075,0.0076,0.0075","II","105","12"
"SN2006kv","00:03:06.66,00:03:06.7,00:03:06.655,00:03:06.6554,00:03:06.6283,00:03:06.660","+00:54:49.6,+00:54:50,+00:54:49.57,+00:54:49.262,+00:54:49.61","0.056,0.062","II","105","1"
"SN2009kn","08:09:43.04,08:09:43.039","-17:44:51.3,-17:44:51.29","0.0143","IIn","105","4"
"SN2006at","13:12:41.11,13:12:41.110","+63:16:45.4,+63:16:45.41","0.015,0.015","II","104","2"
"PTF10umz","01:22:01.640","-01:57:23.30","0.052","II","104",""
"SN2005db","00:41:26.79,00:41:26.791","+25:29:51.6,+25:29:51.61","0.015124","IIn","103","6"
"SN1993A","07:39:17.3,07:39:17.28,00:00:00.000,07:38:38.4,07:39:17.22","-62:03:14,-62:03:14.4,-61:56:11.0,-62:03:03.5","0.0293,0.02978","II P","102","2"
"SDSS-II SN 17292","23:31:23.76","+00:37:45.548,+00:37:45.178","","II","102",""
